"Gép_ID","Feladatkör","Spec","CS_Anyagszám","Anyagszám_ID","Egység","Mennyiség"
"7","Karbantartási csomag","Éves","98","3000001990","CSM","1"
"13","Mérőléc csere","X-Tengely","7003134","7003134","DB.","1"
"13","Energiavezető csere","Z-Tengely","19","10","DB.","4"
"13","Energiavezető csere","Z-Tengely","19","13","DB.","8"
"13","Energiavezető csere","Z-Tengely","19","14","DB.","40"
"13","Energiavezető csere","Z-Tengely","19","16","DB.","4"
"13","Energiavezető csere","Z-Tengely","19","17","DB.","4"
"13","Energiavezető csere","Z-Tengely","19","18","DB.","20"
"44","Karbantartási csomag","Éves","99","3000005357","CSM.","1"
"44","Karbantartási csomag","Éves","99","3000005358","CSM.","1"
"52","Szegnyereg csere","A11-Tengely","34","35","DB.","1"
"52","Szegnyereg csere","A11-Tengely","34","36","DB.","2"
"52","Szegnyereg csere","A11-Tengely","34","38","DB.","2"
"91","Vezetősín csere","U-Tengely","3000005364","56","DB","2"
"91","Vezetősín csere","U-Tengely","3000005364","57","DB","50"
"91","Vezetősín csere","U-Tengely","3000005364","58","DB","20"
"91","Vezetősín csere","U-Tengely","3000005364","59","DB","2"
"91","Vezetősín csere","U-Tengely","3000005364","60","DB","2"
"91","Vezetősín csere","U-Tengely","3000005364","7002016","DB","2"
"91","Vezetősín csere","U-Tengely","3000005364","3000000407","DB","50"
"99","Vezetősín csere","U-Tengely","3000005205","57","DB","60"
"99","Vezetősín csere","U-Tengely","3000005205","61","DB","1"
"99","Vezetősín csere","U-Tengely","3000005205","62","DB","4"
"99","Vezetősín csere","U-Tengely","3000005205","63","DB","4"
"99","Vezetősín csere","U-Tengely","3000005205","64","DB","4"
"99","Vezetősín csere","U-Tengely","3000005205","65","DB","24"
"99","Vezetősín csere","U-Tengely","3000005205","7002016","DB","10"
"99","Vezetősín csere","U-Tengely","3000005205","3000000407","DB","60"
"99","Vezetősín csere","U-Tengely","3000005205","3000004622","DB","4"
"102","Vezetősín csere","U-Tengely","3000005365","57","DB","70"
"102","Vezetősín csere","U-Tengely","3000005365","58","DB","20"
"102","Vezetősín csere","U-Tengely","3000005365","59","DB","2"
"102","Vezetősín csere","U-Tengely","3000005365","60","DB","2"
"102","Vezetősín csere","U-Tengely","3000005365","66","DB","2"
"102","Vezetősín csere","U-Tengely","3000005365","7002016","DB","2"
"102","Vezetősín csere","U-Tengely","3000005365","3000000407","DB","70"
"229","Szalagvágó csere","X-Tengely","44","41","DB.","1"
"229","Szalagvágó csere","X-Tengely","44","43","DB.","1"
"230","Szalagvágó csere","X-Tengely","45","42","DB.","1"
"230","Szalagvágó csere","X-Tengely","45","43","DB.","1"
"232","Energia elnyelő csere","Felfüggesztés","46","47","DB.","32"
"232","Energia elnyelő csere","Felfüggesztés","46","48","DB.","64"
"233","Energia elnyelő csere","Felfüggesztés","46","47","DB.","32"
"233","Energia elnyelő csere","Felfüggesztés","46","48","DB.","64"
"234","Forgóátvezető csere","B-Tengely","93","90","DB.","10"
"234","Forgóátvezető csere","B-Tengely","93","91","DB.","6"
"234","Forgóátvezető csere","B-Tengely","93","92","DB.","2"
"234","Forgóátvezető csere","B-Tengely","93","7002048","DB.","1"
"234","Forgóátvezető csere","B-Tengely","93","7002080","DB.","1"
"234","Forgóátvezető csere","B-Tengely","93","7003102","DB.","6"
"234","Forgóátvezető csere","B-Tengely","93","3000000805","DB.","1"
"234","G-mill szegnyereg","Kiegészítő csomag","89","84","DB.","35"
"234","G-mill szegnyereg","Kiegészítő csomag","89","85","DB.","18"
"234","G-mill szegnyereg","Kiegészítő csomag","89","86","DB.","13"
"234","G-mill szegnyereg","Kiegészítő csomag","89","87","DB.","16"
"234","G-mill szegnyereg","Kiegészítő csomag","89","88","DB.","4"
"234","G-mill szegnyereg","Kiegészítő csomag","89","7001946","DB.","1"
"234","G-mill szegnyereg","Kiegészítő csomag","89","7002400","DB.","1"
"234","G-mill szegnyereg","Kiegészítő csomag","89","7002401","DB.","1"
"234","G-mill szegnyereg","Kiegészítő csomag","89","7002402","DB.","1"
"234","G-mill szegnyereg","Kiegészítő csomag","89","7002646","DB.","1"
"234","G-mill szegnyereg","Kiegészítő csomag","89","7003050","DB.","1"
"234","G-mill szegnyereg","Kiegészítő csomag","89","3000002043","DB.","1"
"234","G-mill szegnyereg","Kiegészítő csomag","89","3000003225","DB.","1"
"234","Vezetősín csere","Szegnyereg","81","82","DB.","45"
"234","Vezetősín csere","Szegnyereg","81","83","DB.","1"
"234","Vezetősín csere","Szegnyereg","81","7002003","DB.","45"
"234","Vezetősín csere","Szegnyereg","81","7002880","DB.","4"
"234","Vezetősín csere","Szegnyereg","81","3000001846","DB.","2"
"234","Vezetősín csere","Szegnyereg","81","3000001847","DB.","4"
"234","Vezetősín csere","Szegnyereg","81","3000001848","DB.","2"
"234","Vezetősín csere","Szegnyereg","81","3000004710","DB.","2"
"234","Vezetősín csere","Szegnyereg","3000005590","82","DB.","45"
"234","Vezetősín csere","Szegnyereg","3000005590","83","DB.","1"
"234","Vezetősín csere","Szegnyereg","3000005590","7002003","DB.","45"
"234","Vezetősín csere","Szegnyereg","3000005590","7002880","DB.","4"
"234","Vezetősín csere","Szegnyereg","3000005590","3000001846","DB.","2"
