"Gép_ID","Terület","Siemens Gép_Név","Belső rendelési szám","SAP költséghely szám","Gyártó Gép_Név","Gyártási szám","Gyártási év","Aktív","Szervíz"
"1","MFC-terület","DMG 1","U00980000101","15009126","DMC65","11710000783","2009","Aktív",""
"2","MFC-terület","DMG 2","U00980000102","15009126","DMC65","11710000793","2009","Aktív",""
"3","MFC-terület","DMG 3","U00980000103","15009126","DMC65","11710000773","2009","Aktív",""
"4","MFC-terület","DMG 4","U00980000104","15009126","DMC65","11710000763","2009","Aktív",""
"5","MFC-terület","DMG 5","U00980000115","15009126","DMC80 HS","11510001363","2009","Aktív",""
"6","MFC-terület","DMG 6","U00980000116","15009126","DMC80 HS","11510001373","2009","Aktív",""
"7","MFC-terület","DMG CTX","270009","15009126","CTX 800 TC","820001481","2015","Aktív",""
"8","MFC-terület","Behringer 1","U00980000126","15009126","Behringer HBP430A","706665","2006","Zárolt",""
"9","MFC-terület","Behringer 2","U00980000127","15009126","Behringer HBP430A","904626","2004","Zárolt",""
"10","MFC-terület","Behringer 3","U00980000128","15009126","Behringer HBE411A","10017954","2023","Aktív",""
"46","MFC-terület","Behringer 4","U00980000129","15009126","Behringer HBE411A","10017953","2023","Aktív",""
"47","MFC-terület","Behringer 5","U00980000130","15009126","Behringer HBE511A","10017963","2022","Aktív",""
"11","MFC-terület","Forgácsprés 1","U00980000117","15009126","-","1598","2009","Aktív",""
"12","MFC-terület","Forgácsprés 2","U00980000183","15009126","RUF 22/4000/70","3216","2024","Aktív",""
"13","MFC-terület","G-mill 1","U00980000069","15009126","Liechti G-mill 550","4024","2005","Aktív",""
"14","MFC-terület","G-mill 2","U00980000070","15009126","Liechti G-mill 550","4026","2005","Aktív",""
"15","MFC-terület","G-mill 3","U00980000071","15009126","Liechti G-mill 550","4028","2006","Aktív",""
"16","MFC-terület","G-mill 4","U00980000072","15009126","Liechti G-mill 550","4030","2006","Aktív",""
"17","MFC-terület","G-mill 5","U00980000073","15009126","Liechti G-mill 550","4025","2005","Aktív",""
