"Szállító","Terület","Kontírozás","Raktár","BMIg.","PO","Keretrendelés infó"
"Daniella_418896","MFC","15009126 / 935007","0060","100369003/10","3010813455/10","Profil szerint területnek szállítótól"
"Daniella_418896","MFS","15009115 / 935006","0060","100369003/20","3010813455/20","Profil szerint területnek szállítótól"
"Daniella_418896","MFH","15009410 / 935143","0350","100369003/30","3010813455/30","Profil szerint területnek szállítótól"
"Daniella_418896","LOG","15009891 / 935010","","100369003/40","3010813455/40","Profil szerint területnek szállítótól"
"Daniella_418896","TMK/KAR","15009832","0060","100369003/50","3010813455/50","Profil szerint területnek szállítótól"
"Daniella_418896","LEAN","15009210","","100369003/60","3010813455/60","Profil szerint területnek szállítótól"
"Daniella_418896","SRE","/ 935013","","100369003/70","3010813455/70","Profil szerint területnek szállítótól"
"Daniella 418896","MFQ","15009131","560","100369003/80","3010813455/80","Profil szerint területnek szállítótól"
"Ezermester_416514","MFC","15009126 / 935007","0060","100369004/10","3010813456/10","Profil szerint területnek szállítótól"
"Ezermester_416514","MFS","15009115 / 935006","","100369004/20","3010813456/20","Profil szerint területnek szállítótól"
"Ezermester_416514","MFH","15009410 / 935143","0350","100369004/30","3010813456/30","Profil szerint területnek szállítótól"
"Ezermester_416514","LOG","15009891 / 935010","","100369004/40","3010813456/40","Profil szerint területnek szállítótól"
"Ezermester_416514","TMK/KAR","15009832","","100369004/50","3010813456/50","Profil szerint területnek szállítótól"
"Ezermester_416514","LEAN","15009210","","100369004/60","3010813456/60","Profil szerint területnek szállítótól"
"Ezermester_416514","SRE","/ 935013","","100369004/70","3010813456/70","Profil szerint területnek szállítótól"
"Ezermester_416514","MFQ","15009131","0560","100369004/80","3010813456/80","Fordított áfás"
"Move-X_410947","MFC","15009126 / 935007","0060","100369005/10","3010813462/10","Profil szerint területnek szállítótól"
"Move-X_410947","MFS","15009115 / 935006","","100369005/20","3010813462/20","Profil szerint területnek szállítótól"
"Move-X_410947","MFH","15009410 / 935143","0350","100369005/30","3010813462/30","Profil szerint területnek szállítótól"
"Move-X_410947","LOG","15009891 / 935010","","100369005/40","3010813462/40","Profil szerint területnek szállítótól"
"Move-X_410947","TMK/KAR","15009832","0060","100369005/50","3010813462/50","Profil szerint területnek szállítótól"
"Move-X_410947","SRE","/ 935013","","100369005/60","3010813462/60","Profil szerint területnek szállítótól"
"UNO_410732","MFC","15009126","0060","100369006/10","3010813465/10","Profil szerint területnek szállítótól"
"UNO_410732","MFS","15009115","","100369006/20","3010813465/20","Profil szerint területnek szállítótól"
"UNO_410732","MFH","15009450","0350","100369006/30","3010813465/30","Profil szerint területnek szállítótól"
"UNO_410732","LOG","15009891","","100369006/40","3010813465/40","Profil szerint területnek szállítótól"
"UNO_410732","TMK/KAR","15009832","0060","100369006/50","3010813465/50","Profil szerint területnek szállítótól"
"UNO_410732","SRE","/ 935013","","100369006/60","3010813465/60","Profil szerint területnek szállítótól"
"PBS_410829","Irodaszer","15009832","","100369008/10","3010813657/10","Irodaszer"
"Ferroprofil_410661","MFC","15009126","0060","100369010/10","3010813966","Emelőgép vizsgálat"
"Ferroprofil_410661","MFC","15009126","0060","100369010/20","3010813966","Központi elszívó szűrők cseréje"
"Fabory_410734","TMK/KAR","15009832","0060","100369012/10","3010813468","Kötőelemek"
