"Beszállító_ID","Ellenőrzés alatt","Cégnév:","Beszállító neve:","Wendor:","Cég címe:","Csomag fogadás cím:","WEB:","Központi elérés Név:","Központi elérés Email:","Központi elérés Tel:","Megszólítás:","Ajánlatkérés Név:","Ajánlatkérés Email:","Ajánlatkérés Tel:","Segítségnyújtás Név:","Segítségnyújtás Email:","Segítségnyújtás Tel:","Hibabejelentés Név:","Hibabejelentés Email:","Hibabejelentés Tel:"
"124","","","ACR Consulting","1002120120","","","","","","","","Tóth Adrienn","toth.adrienn@acr-consulting.hu","","","","","","",""
"1","","Agisys Ipari Keverés- és Hajtástechnika Kft.","Agisys 411332","411332","H-2045 Törökbálint Tó u. 2.","","https://agisys.hu/","","","","","Makkos Balázs","makkos.balazs@agisys.hu","+36 (20) 983 7087","","","","","",""
"2","","","AMSY 411035","","","","","","","","","","","","","","","","",""
"3","","","Angyal 410910","","","","","","","","","","","","","","","","",""
"15","","Aventics Hungary Kft.","Aventics","416740","H-3300 Eger Bánki Donát u. 3","","https://www.emerson.com/hu-hu","","","","","Kardinál Zsuzsanna","zsuzsanna.kardinal@emerson.com","+36 (20) 399 6200","","","","","",""
"4","","","Avia 419039","","","","","","","","","Kugyela Tibor","info@aviaprofbt.hu","","","","","","",""
"131","","Balluff Elektronika Kft","Balluff ","410616","H-Veszprém Pápai út 55","","https://www.balluff.com/hu-hu","","","","","info + Heblinger Fruzsina","saleshu@balluff.hu; fruzsina.heblinger@balluff.hu","","support + Lakat Róbert","support.hu@balluff.hu; robert.lakat@balluff.hu","+36 (20) 299 8394","","",""
"5","","BeeWaTec Hungária Bt.","BeeWaTec","415816","H-6000 Kecskemét Kiskörösi út 8","","https://www.beewatec.com/hu/","Gulyás Anita","a.gulyas@beewatec.hu"," +36 (20) 253 7616","","Gulyás Anita","a.gulyas@beewatec.hu"," +36 (20) 253 7616","Gulyás Anita","a.gulyas@beewatec.hu"," +36 (20) 253 7616","","",""
"6","","","Behringer 402030","","","","","","","","","Judith Schenk","judith.schenk@behringer.net","","","","","","",""
"7","","","Bibus 410911","","","","","","","","","Búzás Julianna","jub@bibus.hu","","","","","","",""
"8","","","Biotek 408251","","","","","","","","","Ádám Zoltán","info@biotek.hu","","","","","","",""
"137","","","Blohm Jung 402882","","","","","","","","","","","","","","","","",""
"10","","","Budai 419040","","","","","","","","","Kokk György","kokkgyorgy@bubenlaser.com","","","","","","",""
"138","","","Burkhardt+Weber 409026","","","","","","","","","","","","","","","","",""
"132","","","BVS 409356","","","","","","","","","","","","","","","","",""
"117","","","Daniella 418896","","","","","","","","","Hardi Tamás","tamas.hardi@daniella.hu","+36 (20) 509 7175","","","","","",""
"11","","","Dialog 401656","","","","","","","","","Christian Patzer","christian.patzer@dcs.de","","","","","","",""
"12","","","DIEMA 417182","","","","","","","","","","","","","","","","",""
"13","","","Distrelec 408254","","","","","","","","","","info-hu@distrelec.com","","","","","","",""
"14","","","DMG 411230","","","","","","","","","Balázs Gabriella","gabriella.balazs@dmgmori.com","","","","","","service.hungary@dmgmori.com",""
"133","","","ELB 401798","","","","","","","","","","","","","","","","",""
"120","","","Erowa 401049","","","","","","","","","Marcel Pfortner","marcel.pfortner@erowa.com","","","","","","",""
"16","","","Euchner 417176","","","","","","","","","info + Lehner Krisztina + Nizsalócki Bálint","info@euchner.hu; krisztina.lehner@euchner.hu","","","","","","",""
"17","","","Ezermester 416514","","","","","","","","","Vékony József","info@ezermesterbolt.eu","","","","","","",""
"110","","Fabory Kft.","Fabory 410734","410734","H-1139 Budapest Fay utca 4 ","","https://www.fabory.com/hu","","faboryhu@fabory.com","","","Ádám Zoltán","zoltan.adam@fabory.com","+36 (20) 471 0717","","","","","",""
"18","","","Fagypont 410664","","","","","","","","","Neuman Ákos","fagypont@freemail.hu","","Laukó Zsolt","","+36 (30) 928 4033","","",""
"20","","","Feluletklinika 410853","","","","","","","","","Király János","kiraly_feluletklinika@outlook.hu_  kiraly@si.hu","","","","","","",""
"19","","","Felületkémia 410765","","","","","","","","","Szabó Krisztina","szabo.krisztina@feluletkemia.hu; megrendeles@feluletkemia.hu","","","","","","",""
"21","","","Ferroprofil 410661","","","","","","","","","","","","","","","","",""
"22","","","Festo 410609","","H-1037 Budapest Csillaghegyi út 32-34.","","","","","","","Goetman Edit","edit.goetman@festo.com","","Urbán Gábor","gabor_urban@festo.com","","","",""
"23","","","Figra 408248","","","","","","","","","Brindza László","info@figra.hu","","","","","","",""
"24","","","Firegate 411506","","","","","","","","","","","","","","","","",""
"25","","","Fischer 500208","","","","","","","","","info","info-fsg@fischerspindle.com","","","","","","",""
"26","","","Gabfer 410685","","","","","","","","","info","gabfer@gabfer.hu","","","","","","",""
"27","","GEK Team Kft.","GekTeam","416946","H-2100 Gödöllő Moór János utca 10.","","https://gekteam.hu/","Durán Annamária","annamaria.duran@gekteam.hu","-","","info + Durán Annamária","info@gekteam.hu; hunor.balint@gekteam.hu ","","Hunor Bálint","hunor.balint@gekteam.hu ","+36 (30)274 8886","","",""
"116","","","Gépelem 416778","","","","","","","","","Koloszár Imre","koloszar.imre@dussergroup.hu","","Bruckmann Dorn Balint","bruckmann.dorn.balint@dussergroup.hu","","","",""
"28","","GF Machining Solutions Sp. z o.o.- Magyarországi Fióktelepe","GF Machining","419562","H-1112 Budapest Repülőtéri utca 2a","","https://www.gfms.com/en-hu.html","Thomas Niklaus","liechti.hu.smb.ms@georgfischer.com","-","","Baka Krisztina","krisztina.baka@georgfischer.com","+36 (30)309 8860","Szilágyi Zsolt","zsolt.szilagyi@georgfischer.com","+36 (30) 816 0090","Vas Tibor ","tibor.vas@georgfischer.com","-"
"29","","","Gimex 410840","","","","","","","","","info + Skobrák Ferenc","info@gimex.hu; ferenc.skobrak@gimex.hu","","","","","","",""
"31","","Gördölő Kft.","Gördülő  2","418768","H-1037 Budapest Csillaghegyi út 19-21.","","https://www.gordulo.hu/","Szöllősi László","laszlo.szollosi@gordulo.hu","+36 (20) 942 4759","","Szöllősi László","laszlo.szollosi@gordulo.hu","+36 (20) 942 4759","Szöllősi László","laszlo.szollosi@gordulo.hu","+36 (20) 942 4759","","",""
"32","","","Gördülő 410641","","","","","","","","","Bárdfalvi Tamás","t.bardfalvi@gordulo-simmering.hu","","","","","","",""
"33","","","Gránit-ex 416750","","","","","","","","","","","","","","","","",""
"34","","","Gruber 410360","","","","","","","","","","","","","","","","",""
"35","","","Gruber 418769","","","","","","","","","","","","","","","","",""
"36","","","Haake 409036","","","","","","","","","","","","","","","","",""
"37","","","Hafner 411247","","","","","","","","","Novák Henrietta","novak.henrietta@hafner-pneumatika.com; ertekesites@hafner-pneumatika.com","","","","","","",""
"38","","Hansa-Flex Hidraulika Kft.","Hansa ","419054","H-1046 Budapest Kiss Ernő utca 2","","https://hansa-flex.hu/","Ügyelet 0-24H","hmg@hansa-flex.com","+36 (30) 552 6800","","Deák Ferenc","hmg@hansa-flex.com","+36 (30) 453 2484","Deák Ferenc","hmg@hansa-flex.com","+36 (30) 453 2484","","",""
"39","","HBB Szerviz Kft.","HBB 410722","410722","H-9444 Fertőszentmiklós Petőfi Sándor utca 37","","https://www.hbbszerviz.hu/","Bekő Balázs","beko.balazs@hbbszerviz.hu","+36 (20) 563 0543","","Bekő Balázs","beko.balazs@hbbszerviz.hu","+36 (20) 563 0543","Bekő Balázs","beko.balazs@hbbszerviz.hu","+36 (20) 563 0543","","",""
"119","","","Hegetronik Kft. 419721","","","","","","","","","Németh Gábor","info@hegetronik.hu","","","","","","",""
"40","","","Heller 409526","","","","","","","","","Radim Swider","radim.swider@heller.biz","","","","","","",""
"41","","","Hennlich 411008","","","","","","","","","","gepelem@hennlich.hu","","","","","","",""
"42","","","HFP-K 408149","","","","","","","","","","info@hfpk.hu","","","","","","",""
